Name,age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,Tenure (months),age2
Roslyn Jimison,24,F,City,Gold Membership,No,Without Offers,Desktop,Mobile_Data,6,885.544393,18856.42,10,770.95,No,Yes,Yes,No Information Available,Too many ads,3,20,20-29
Anisha Crimmins,36,M,Town,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,10,78.92,27089.8,6,606.64,No,Yes,No,Not Applicable,No reason specified,4,35,30-39
Necole Drolet,29,M,Town,Premium Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,14,33.98,28900.13,21,775.13,Yes,No,No,Not Applicable,Poor Customer Service,3,29,20-29
Leslie Zuniga,64,M,Village,Platinum Membership,Yes,Credit/Debit Card Offers,Not Specified,Mobile_Data,5,818.48,74864.48,12,762.58,Yes,Yes,Yes,No Information Available,Quality Customer Care,2,16,60-69
Gracie Kistner,40,F,City,Premium Membership,Yes,Without Offers,Desktop,Mobile_Data,15,34.34,8154.83,10,1263.259303,Yes,No,Yes,No Information Available,Poor Customer Service,3,21,40-49
Donya Hyppolite,43,F,City,Silver Membership,No,Without Offers,Both,Mobile_Data,8,485.42,29372.75,10,774.7,Yes,No,No,Not Applicable,Too many ads,3,20,40-49
Kyla Bober,51,F,City,No Membership,Not Specified,Without Offers,Smartphone,Wi-Fi,19,1560.529311,30122.29,6,501.8773002,Yes,Yes,Yes,No Information Available,Poor Customer Service,5,24,50-59
Pennie Browder,24,M,Town,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,12,550.83,6938.78,15,790.81,Yes,Yes,No,Not Applicable,Too many ads,3,7,20-29
Fumiko Wark,23,M,City,Gold Membership,No,Credit/Debit Card Offers,Not Specified,Fiber_Optic,9,284.16,37642.4,15,749.58,Yes,Yes,No,Not Applicable,Products always in Stock,2,19,20-29
Melita Arnott,46,M,City,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,4,143.7,24431.64,5,786.91,No,Yes,Yes,Unsolved,Too many ads,3,28,40-49
William Duda,50,F,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,128.65,6925.27,13,755.14,Yes,No,No,Not Applicable,No reason specified,3,1,50-59
Shawanda Jarrard,33,M,City,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,110.24,49329.52,29,686.43,Yes,No,Yes,Unsolved,Poor Customer Service,4,28,30-39
Necole Reitzel,22,M,City,Gold Membership,No,Credit/Debit Card Offers,Not Specified,Fiber_Optic,11,34.92,31536.63,9,522.9708416,No,Yes,Yes,Solved,User Friendly Website,1,9,20-29
Nova Austria,34,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,0,112.69,43627.01,15,587.47,No,Yes,Yes,Solved,No reason specified,5,18,30-39
Frederica Acheson,36,F,City,No Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,7,277.92,3804.62,20,696.88,No,Yes,No,Not Applicable,Poor Product Quality,5,33,30-39
Princess Brigmond,44,F,City,Platinum Membership,No,Credit/Debit Card Offers,Not Specified,Fiber_Optic,2,269.38,22326.05,12,776.33,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,3,7,40-49
Bulah Baillargeon,31,F,Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,18,40.15,13347.01,23,783.34,No,Yes,Yes,Unsolved,Poor Customer Service,3,29,30-39
Blossom Seawood,30,M,Town,No Membership,No,Without Offers,Smartphone,Fiber_Optic,20,274.48,29245.35,26,713.07,Yes,Yes,Yes,No Information Available,Poor Product Quality,4,0,30-39
Madalyn Lemons,49,F,City,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,22,83.08,57551.36,17,827.34,No,Yes,Yes,Solved,Products always in Stock,1,27,40-49
Karlyn Deyoe,21,M,Town,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5,46.01,16734.32,6,736.61,No,Yes,No,Not Applicable,Quality Customer Care,2,19,20-29
Rufus Aponte,58,M,Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,10,201.89,32669.15,21,656.32,No,Yes,Yes,No Information Available,Poor Product Quality,4,29,50-59
Sebastian Tarr,16,M,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,24,423.51,22658.96,6,690.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,4,34,Oct-19
Azucena Izaguirre,23,M,City,Basic Membership,Yes,Without Offers,Desktop,Mobile_Data,17,89.92,32798.85,19,549.53,No,Yes,No,Not Applicable,Poor Website,5,6,20-29
Kiyoko Gordillo,11,F,City,Premium Membership,No,Without Offers,Desktop,Fiber_Optic,21,345.34,3026.93,18,746.89,No,Yes,No,Not Applicable,Quality Customer Care,2,25,Oct-19
Barbie Jacobson,10,M,Village,Platinum Membership,Not Specified,Gift Vouchers/Coupons,Both,Mobile_Data,9,481.68,28666.64,1,704.53,No,Yes,Yes,Unsolved,Products always in Stock,2,5,Oct-19
Torri Rodriques,26,F,City,Silver Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,19,612.65,12376.17,16,668.05,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,4,24,20-29
Kenny Deshazo,60,F,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,17,929.1481821,17513.53,21,635.11,No,Yes,No,Not Applicable,Too many ads,4,30,60-69
Frances Albertini,16,M,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,12,96,1392.58,26,637.31,No,Yes,Yes,Solved,No reason specified,4,24,Oct-19
Kendrick Pharr,12,M,Town,Basic Membership,No,Without Offers,Desktop,Wi-Fi,23,202.17,44675.05,16,602.72,Yes,No,No,Not Applicable,No reason specified,5,8,Oct-19
Andra Mirelez,62,F,City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,15,34.3,3511.76,5,714.52,Yes,No,Yes,Solved,Poor Product Quality,4,14,60-69
Lesli Ericksen,14,M,Town,Premium Membership,Yes,Credit/Debit Card Offers,Not Specified,Wi-Fi,13,757.04,49808.34,28,794.66,Yes,Yes,No,Not Applicable,Poor Product Quality,3,9,Oct-19
Azucena Reinbold,15,F,City,No Membership,Yes,Without Offers,Desktop,Wi-Fi,16,212.08,3963.83,27,503.92,Yes,No,No,Not Applicable,Poor Customer Service,5,4,Oct-19
Laureen Flannigan,36,M,City,Gold Membership,No,Gift Vouchers/Coupons,Not Specified,Mobile_Data,18,100.93,68418.14,2,734.83,No,Yes,No,Not Applicable,Quality Customer Care,2,13,30-39
Roslyn Eynon,42,M,Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,12,253.61,46839.63,28,181.6120489,Yes,No,No,Not Applicable,Poor Website,5,3,40-49
Lynsey Bittinger,38,F,Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,20,66.37,48627.05,16,634.28,No,Yes,No,Not Applicable,Poor Customer Service,5,33,30-39
Andra Culligan,52,F,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13,104.24,19316.56,10,734.59,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,3,14,50-59
Michelina Seeber,28,M,City,Silver Membership,Not Specified,Credit/Debit Card Offers,Desktop,Wi-Fi,15,38.55,36901.84,13,640.07,Yes,No,No,Not Applicable,Poor Customer Service,4,21,20-29
Francie Ruse,50,F,Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,Wi-Fi,12,183.92,29431.8,20,756.6,No,Yes,Yes,Unsolved,Poor Website,3,19,50-59
Yolonda Matteo,40,M,Town,Platinum Membership,No,Without Offers,Smartphone,Fiber_Optic,10,188.44,28752.54,25,732.85,No,Yes,Yes,Unsolved,Too many ads,3,25,40-49
Francie Chi,32,M,Village,Silver Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Fiber_Optic,21,112.55,5699.99,18,626.3,No,Yes,No,Not Applicable,Poor Product Quality,4,23,30-39
Sybil Goertz,30,M,Village,Platinum Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Wi-Fi,18,655.41,38492.27,24,705.69,Yes,No,Yes,Unsolved,Poor Website,3,7,30-39
Melonie Adcox,54,F,City,Platinum Membership,No,Credit/Debit Card Offers,Desktop,Mobile_Data,0,75,16550.48,12,772.25,No,Yes,Yes,No Information Available,Too many ads,3,33,50-59
Alethia Eisele,52,M,City,Basic Membership,Yes,Without Offers,Not Specified,Fiber_Optic,25,64.55,48682.07,22,659.68,Yes,No,No,Not Applicable,Too many ads,5,25,50-59
Nan Titcomb,35,M,City,Silver Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Mobile_Data,7,33.73,88841.55,16,724.36,No,Yes,Yes,Solved in Follow-up,User Friendly Website,2,16,30-39
Tara Farner,28,F,City,Gold Membership,No,Without Offers,Desktop,Mobile_Data,13,195.05,37778.44,25,745.89,No,Yes,No,Not Applicable,Poor Website,3,18,20-29
Tyesha Armes,56,F,Village,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,0,122.69,22246.58,13,511.72,No,Yes,No,Not Applicable,Poor Website,5,17,50-59
Willis Cockrum,47,F,City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,12,183.92,46873.1,6,618.65,No,Yes,Yes,Unsolved,Poor Website,4,33,40-49
Candy Kmetz,62,F,Village,No Membership,Yes,Without Offers,Desktop,Mobile_Data,13,612.15,17352.34,27,639.79,Yes,No,Yes,Unsolved,Too many ads,4,11,60-69
Lorie Wyrick,55,F,Town,Platinum Membership,Yes,Without Offers,Desktop,Fiber_Optic,14,67.18,29402.2,21,734.36,No,Yes,Yes,No Information Available,Poor Customer Service,3,19,50-59
Keva Maciel,26,F,City,Gold Membership,Yes,Without Offers,Both,Wi-Fi,14,548.14,41726.88,0,757.89,Yes,Yes,Yes,Solved,No reason specified,3,32,20-29
Jackson Nicks,47,M,Town,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,13,215.59,2400.75,7,718.08,Yes,No,No,Not Applicable,Poor Customer Service,4,11,40-49
Carina Yocum,34,F,Town,Basic Membership,No,Without Offers,Desktop,Mobile_Data,16,146.01,3502.08,29,694.85,Yes,No,No,Not Applicable,Poor Website,5,1,30-39
Francie Woodrow,12,M,Village,No Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,21,186.88,24167.67,28.65294771,507.32,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,5,5,Oct-19
Les Poquette,53,M,Village,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,0,1408.709281,24696.78,27,731.31,No,Yes,Yes,Unsolved,No reason specified,3,27,50-59
Michelina Wiltshire,44,F,Town,Platinum Membership,No,Credit/Debit Card Offers,Not Specified,Fiber_Optic,6,280.14,12046.06,20,730.42,No,Yes,No,Not Applicable,Too many ads,3,3,40-49
Josette Claybrook,61,F,Town,Platinum Membership,Not Specified,Without Offers,Desktop,Wi-Fi,10,422.03,4839.59,8,716.71,No,Yes,Yes,Solved in Follow-up,Too many ads,3,34,60-69
Keitha Soucy,24,F,Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,31.7,17705.08,28,567.92,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,5,18,20-29
Teri Absher,31,F,City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,13,135.93,78153.19,5,719.35,No,Yes,Yes,Solved,User Friendly Website,2,27,30-39
Maryanna Broderson,24,F,Town,Gold Membership,No,Without Offers,Smartphone,Mobile_Data,0,318.36,41117.22,0.671235823,682.27,Yes,No,No,Not Applicable,Poor Product Quality,4,17,20-29
Steve Fitting,11,F,City,No Membership,No,Without Offers,Both,Wi-Fi,10,332.6,37186.5,14,624.28,No,Yes,No,Not Applicable,Too many ads,5,27,Oct-19
Alanna Bullard,26,F,Town,Premium Membership,Yes,Without Offers,Desktop,Fiber_Optic,13,1176.620414,16492.61,13,771.44,Yes,No,No,Not Applicable,Poor Product Quality,3,0,20-29
Nakita Leitner,58,M,Town,Premium Membership,Not Specified,Credit/Debit Card Offers,Desktop,Wi-Fi,14,32.21,8598.39,9,733.66,No,Yes,Yes,Solved,Too many ads,3,35,50-59
Bill Voisine,57,F,Town,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,14,34.7,17984.29,24,693.96,Yes,No,No,Not Applicable,Poor Website,5,20,50-59
Nelda Carnell,17,F,City,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,7,30.08,26817.61,26,352.214819,No,Yes,No,Not Applicable,Poor Customer Service,4,6,Oct-19
Dorine Devlin,37,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Not Specified,Wi-Fi,17,44.34,38488.39,5,771.44,No,Yes,No,Not Applicable,Poor Customer Service,3,8,30-39
Alva Maybee,17,M,Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15,78.95,26767.98,5,727.04,No,Yes,No,Not Applicable,Poor Customer Service,3,2,Oct-19
Donya Lecompte,12,F,City,Silver Membership,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,14,246.52,12240.43,29,712.22,Yes,Yes,Yes,No Information Available,Poor Product Quality,3,9,Oct-19
Stella Cree,33,M,City,Platinum Membership,Yes,Without Offers,Smartphone,Wi-Fi,11,33.64,96835.25,16,753.28,Yes,No,No,Not Applicable,Reasonable Price,1,18,30-39
Frederica Fitting,20,M,City,Gold Membership,No,Credit/Debit Card Offers,Not Specified,Mobile_Data,3,367.59,35967.63,15,526.8061863,Yes,Yes,Yes,Solved in Follow-up,Quality Customer Care,2,11,20-29
Leeanna Wetherell,36,M,Town,Silver Membership,No,Without Offers,Not Specified,Mobile_Data,13,51.06,31664.75,28,298.296855,Yes,No,Yes,Solved,No reason specified,4,20,30-39
Eliz Zeiler,36,M,Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,24,96.35,28250.36,17,784.38,Yes,No,Yes,Solved,Poor Customer Service,3,32,30-39
Brinda Barfoot,56,F,City,No Membership,Yes,Without Offers,Both,Wi-Fi,8,299,46586.83,14,519.34,Yes,No,Yes,Unsolved,Poor Product Quality,5,15,50-59
Antonio Mastro,52,F,City,Basic Membership,Yes,Without Offers,Smartphone,Fiber_Optic,13,1133.819262,3442.82,8,521.9,No,Yes,Yes,Solved in Follow-up,Poor Website,5,10,50-59
Yukiko Nell,38,F,Village,Basic Membership,Yes,Without Offers,Not Specified,Fiber_Optic,15,185.08,18497.6,8,82.51841718,No,Yes,Yes,Solved,No reason specified,4,1,30-39
Shaquana Dahmer,44,M,Town,Gold Membership,No,Without Offers,Smartphone,Wi-Fi,12,161.73,26869.47,6,765.72,Yes,No,No,Not Applicable,Poor Website,3,4,40-49
Luciana Mccaster,35,M,City,Silver Membership,No,Gift Vouchers/Coupons,Not Specified,Wi-Fi,12,34.76,31964.2,6,700.55,No,Yes,Yes,Solved in Follow-up,No reason specified,3,8,30-39
Shyla Stoller,42,F,City,Silver Membership,No,Without Offers,Smartphone,Mobile_Data,0,275.93,18615.05,13,759.86,Yes,No,Yes,Unsolved,Poor Website,3,5,40-49
Jacklyn Calico,19,M,City,Basic Membership,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,1,1169.19,37879.88,29,620.84,Yes,No,No,Not Applicable,Poor Product Quality,4,23,Oct-19
Larae Meadow,60,F,City,Gold Membership,No,Without Offers,Smartphone,Fiber_Optic,8,36.01,82483.07,6,844.43,No,Yes,No,Not Applicable,User Friendly Website,1,11,60-69
Janell Youngquist,26,M,Town,Basic Membership,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,21,271.77,2430.74,29,565.8750465,Yes,No,Yes,No Information Available,Poor Website,5,9,20-29
Elsa Strother,15,M,Village,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11,64.14,40677.27,26,794.41,No,Yes,Yes,Unsolved,Poor Customer Service,3,30,Oct-19
Azzie Holgate,21,M,City,No Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Wi-Fi,9,80.66,4521.44,9,669.86,No,Yes,No,Not Applicable,No reason specified,4,9,20-29
Verlene Thomas,28,F,City,Gold Membership,No,Without Offers,Desktop,Fiber_Optic,14,55.47,35699.94,11,779.99,No,Yes,No,Not Applicable,Too many ads,3,30,20-29
Lois Cantor,45,F,City,Platinum Membership,Yes,Without Offers,Desktop,Mobile_Data,8,594.8,56127.61,1,704.77,No,Yes,Yes,No Information Available,Reasonable Price,2,12,40-49
Neoma Kampf,57,M,Town,No Membership,Yes,Without Offers,Smartphone,Fiber_Optic,18,81.2,22637.17,23,308.6262384,No,Yes,Yes,No Information Available,No reason specified,4,27,50-59
Deeann Knebel,42,F,Town,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,4,203.69,14830.35,15,714.27,Yes,No,Yes,Solved in Follow-up,Poor Website,3,14,40-49
Raina Everts,43,M,Town,No Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12,266.64,32252.62,9,599.84,No,Yes,No,Not Applicable,No reason specified,5,11,40-49
Lolita Fee,19,M,Village,Silver Membership,Yes,Without Offers,Desktop,Wi-Fi,10,59.33,43237.17,21,688.36,No,Yes,No,Not Applicable,Poor Website,4,3,Oct-19
Caleb Hollifield,53,F,Town,Silver Membership,Not Specified,Credit/Debit Card Offers,Desktop,Mobile_Data,5,32.24,18467.77,20,698,No,Yes,No,Not Applicable,Poor Customer Service,4,35,50-59
Ardis Pulver,37,F,City,Basic Membership,Not Specified,Gift Vouchers/Coupons,Desktop,Mobile_Data,6,32.2,45785.01,22,441.524742,No,Yes,Yes,No Information Available,Too many ads,5,19,30-39
Jenni Bramblett,44,F,City,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,12,41.78,18279.42,29,784.69,Yes,No,No,Not Applicable,No reason specified,3,7,40-49
Fumiko Hodson,62,M,Village,Gold Membership,Yes,Credit/Debit Card Offers,Not Specified,Mobile_Data,11,690.93,35188.99,29,773.19,Yes,Yes,Yes,Solved,Poor Product Quality,3,10,60-69
Lorie Cha,36,M,Town,No Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Mobile_Data,16,254.49,3038.51,12,650.24,Yes,Yes,Yes,Unsolved,Poor Product Quality,4,28,30-39
Viva Ferber,13,M,Village,Silver Membership,No,Gift Vouchers/Coupons,Both,Wi-Fi,7,245.39,15617.13,31.64986541,719.4,Yes,No,No,Not Applicable,Poor Customer Service,3,9,Oct-19
Kena Reasoner,32,M,Town,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,7,168.8,21984.7,21,758.69,Yes,No,No,Not Applicable,Poor Website,3,33,30-39
Jonathon Homan,41,M,Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,8,145.45,11515.34,10,755.14,Yes,No,Yes,Solved in Follow-up,Too many ads,3,2,40-49
Latoyia Smidt,28,F,Town,Gold Membership,Not Specified,Without Offers,Desktop,Wi-Fi,9,104.79,67666.5,16,792.4,Yes,No,Yes,No Information Available,Products always in Stock,1,14,20-29
Lorriane Vasser,32,M,City,Silver Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,7,78.05,41801.53,29,1177.214307,Yes,No,Yes,Solved,Poor Customer Service,4,2,30-39
Arielle Magwood,36,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,9,205.87,9723.42,23,707.88,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,3,31,30-39
Kristeen Lybrand,26,F,City,Silver Membership,No,Credit/Debit Card Offers,Not Specified,Fiber_Optic,5,108.95,20325.43,14,717.89,No,Yes,Yes,Solved,Poor Website,4,35,20-29
Sachiko Vince,35,F,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,22,56.3,31368.67,9,732.4,Yes,No,Yes,Solved in Follow-up,Too many ads,3,32,30-39
Sherie Whitcomb,26,F,Town,Gold Membership,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,12,308.83,37831.57,22,214.204243,Yes,No,No,Not Applicable,No reason specified,3,20,20-29
Francis Sward,37,M,Town,No Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Wi-Fi,11,182.96,18125.8,20,647.56,Yes,No,Yes,No Information Available,Poor Customer Service,5,32,30-39
Deanna Straw,60,M,City,Gold Membership,Not Specified,Gift Vouchers/Coupons,Smartphone,Mobile_Data,9,190.73,21156.47,20,647.31,Yes,No,Yes,Solved,Poor Website,4,16,60-69
Gilda Halfacre,62,F,Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,19,228.6,68964.33,7,755.69,Yes,Yes,No,Not Applicable,Products always in Stock,1,33,60-69
Loriann Titcomb,12,M,City,Basic Membership,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17,173.82,20140.19,14,680.31,No,Yes,Yes,Unsolved,Poor Product Quality,5,28,Oct-19
Jennette Backus,16,F,Town,Silver Membership,No,Without Offers,Desktop,Mobile_Data,4,32.33,10703.74,14,478.0892894,No,Yes,No,Not Applicable,User Friendly Website,2,7,Oct-19
Katrina Benjamin,56,M,City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,12,72.83,21886.07,27,577.95,No,Yes,Yes,Unsolved,Poor Customer Service,5,7,50-59
Frederica Rosol,13,F,City,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,10,31.95,48117.6,7,611.37,No,Yes,No,Not Applicable,No reason specified,4,9,Oct-19
Marilou Twilley,34,M,Town,Silver Membership,No,Without Offers,Desktop,Fiber_Optic,7,164.02,11926.29,28,668.89,Yes,No,No,Not Applicable,Too many ads,4,16,30-39
Karon Seltzer,40,F,Town,Silver Membership,Yes,Without Offers,Desktop,Wi-Fi,18,34.5,43352.28,0,762.84,No,Yes,No,Not Applicable,Poor Website,3,18,40-49
Nolan Nicks,55,M,City,Premium Membership,Not Specified,Credit/Debit Card Offers,Desktop,Mobile_Data,1,33.53,30954.48,25,751.36,Yes,No,Yes,Unsolved,Poor Website,3,23,50-59
Rocky Duda,63,M,Town,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,17,183.31,31001.74,21,788.83,No,Yes,No,Not Applicable,Poor Product Quality,3,26,60-69
Noelle Markow,41,M,Village,No Membership,No,Gift Vouchers/Coupons,Not Specified,Wi-Fi,12,407.79,42853.51,0.230412329,677.47,Yes,No,Yes,Solved,Poor Product Quality,4,17,40-49
Kenny Johanson,61,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18,150.29,28292.83,16,796.36,Yes,No,No,Not Applicable,Too many ads,3,11,60-69
Krystina Vann,18,F,City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,12,34.9,10011.46,22,1072.983609,Yes,No,Yes,Unsolved,No reason specified,3,28,Oct-19
Ming Hafer,17,F,City,Basic Membership,No,Without Offers,Smartphone,Fiber_Optic,3,42.74,31218.16,5,710.79,Yes,No,Yes,Solved,Poor Website,4,12,Oct-19
Meghan Range,45,M,City,Gold Membership,Yes,Without Offers,Desktop,Fiber_Optic,15,1444.918476,47660.41,0,399.8147413,Yes,Yes,No,Not Applicable,Poor Product Quality,3,19,40-49
Raina Gatto,50,F,Town,Basic Membership,No,Without Offers,Smartphone,Wi-Fi,5,182.04,41908.87,25,601.34,Yes,No,No,Not Applicable,Poor Website,5,27,50-59
Donya Medders,54,M,Village,Gold Membership,Not Specified,Credit/Debit Card Offers,Both,Mobile_Data,3,265.74,77091.97,16,756.7,No,Yes,No,Not Applicable,Reasonable Price,1,13,50-59
Frederica Flanery,40,M,City,Gold Membership,No,Without Offers,Desktop,Wi-Fi,18,258.51,44425.2,27,614.65,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,4,17,40-49
Alva Benito,50,M,Village,No Membership,Yes,Without Offers,Smartphone,Fiber_Optic,12,31.76,16271.18,24,639.08,No,Yes,Yes,Solved in Follow-up,No reason specified,4,21,50-59
Buster Cardwell,62,F,Town,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,4,34.24,20315.06,25,774.93,No,Yes,Yes,No Information Available,Poor Customer Service,3,26,60-69
Gerard Bober,13,M,Village,Silver Membership,Yes,Without Offers,Desktop,Wi-Fi,18,147.26,12364.25,5,782.74,Yes,No,Yes,No Information Available,Poor Customer Service,3,20,Oct-19
Arielle Vita,41,M,City,No Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Wi-Fi,2,113.07,28563.24,20,553.5144608,Yes,No,No,Not Applicable,Poor Customer Service,5,10,40-49
Faustina Beckmann,50,F,Town,Silver Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,149.87,45272.21,16,661.63,Yes,No,No,Not Applicable,Too many ads,4,0,50-59
Leeanne Harrington,35,F,Town,Silver Membership,No,Without Offers,Smartphone,Fiber_Optic,16,75.22,48939.09,26,628.26,No,Yes,No,Not Applicable,Poor Customer Service,4,12,30-39
Hilde Liz,48,F,Village,No Membership,Yes,Without Offers,Not Specified,Mobile_Data,11,109.39,10522.28,7,624.27,Yes,No,Yes,Solved in Follow-up,No reason specified,5,18,40-49
Esmeralda Fee,53,M,City,Premium Membership,No,Gift Vouchers/Coupons,Both,Wi-Fi,0,221.79,98378.73,10,734.57,No,Yes,No,Not Applicable,Quality Customer Care,2,16,50-59
Rosa Yocum,18,M,City,Silver Membership,Not Specified,Without Offers,Smartphone,Wi-Fi,5,446.81,47558.9,27,749.93,Yes,No,Yes,Solved,Poor Customer Service,3,6,Oct-19
Enid Biffle,42,M,City,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,17,30.32,5403.21,22,798.25,No,Yes,No,Not Applicable,Poor Website,3,30,40-49
Kizzy Musselwhite,48,M,Town,Premium Membership,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,15,52.95,28427.91,21,716.98,Yes,No,Yes,No Information Available,Poor Product Quality,3,31,40-49
Evelyne Hoffman,46,M,City,Gold Membership,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,18,473.63,12178.05,15,756.45,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,3,18,40-49
Torri Padua,29,M,City,Basic Membership,Yes,Without Offers,Smartphone,Fiber_Optic,8,528.63,42653.47,8,602.75,Yes,No,Yes,Solved,No reason specified,5,8,20-29
Shakira Strosnider,13,M,Town,Platinum Membership,Not Specified,Credit/Debit Card Offers,Smartphone,Mobile_Data,15,31.86,96916.83,31.59250677,786.11,No,Yes,No,Not Applicable,User Friendly Website,1,12,Oct-19
Erich Havlik,53,M,Town,Premium Membership,Yes,Without Offers,Not Specified,Fiber_Optic,0,1014.73,83142.29,7,702.83,Yes,Yes,Yes,Unsolved,Reasonable Price,2,19,50-59
Augustus Para,49,M,City,No Membership,Yes,Gift Vouchers/Coupons,Not Specified,Mobile_Data,10,42.19,37363.15,0,674.99,No,Yes,Yes,Solved,No reason specified,4,22,40-49
Opal Arnott,12,M,Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,12,257.72,45771.17,15,1221.121782,No,Yes,No,Not Applicable,Poor Website,3,11,Oct-19
